Josh;3;Zidan;2
Joshue;3;Zidan;1
;3;;2
dada;3;dad;1
John;1;Jiri;3
fsdfsf;1;sfdsfsd;3
Josda;2;FAda;3
;3;;2
;3;;2
;1;;3
;3;;2
;3;;0
;2;;3
;1;;3
Marcus;3;Josh;0
Marcus;3;Polo;2
Polo;3;G;2
X ;3;Ten;2
Pauli ;3;Josh;2
Dizz;3;Nuts;0
da;3;dada;2
dada;3;da;1
daxa;3;xada;1
rex;1;ser;3
PAra;3;Zidan;0
polo;2;lopo;3
po;3;pu;1
zidan;2;cig;3
